match_index,Pinnacle_Odds,correct_prediction,confidence,Confidence_Player1_Wins,Confidence_Player2_Wins,date,Player1,Player2
2637,1.26,1,1.1300643174648286,0.8968764424324036,0.19570813477039337,2018-12-29,Auger-Aliassime F.,Arevalo M.
2741,1.66,1,1.1205161476135252,0.6750097274780273,0.21852653846144676,2019-01-03,Nishikori K.,Dimitrov G.
2662,2.41,0,1.1203594994544983,0.4552335242430369,0.7181791663169861,2018-12-30,Myneni S.,Gerasimov E.
2830,1.65,1,1.1195693001151084,0.6785268485546112,0.29742942191660404,2019-01-11,Norrie C.,Struff J.L.
2760,1.17,1,1.1151266813278196,0.9530997276306152,0.0900413814932108,2019-01-05,Marcora R.,Rai A.
2727,1.72,0,1.1079699569940566,0.2595342646042506,0.5201736887296041,2019-01-02,Lajovic D.,Berankis R.
2803,1.54,1,1.1069337922334672,0.7187881767749786,0.6249815449118614,2019-01-08,Rublev A.,Pouille L.
2645,1.3,1,1.1052074766159057,0.8501595973968505,0.6740219116210937,2018-12-29,Kecmanovic M.,Banes M.
2659,1.26,1,1.105063196182251,0.8770342826843261,0.06242909356951713,2018-12-29,Humbert U.,Ellis B.
2688,1.22,1,1.1038442752361297,0.9047903895378113,0.10001617446541786,2018-12-31,Raonic M.,Bedene A.
2786,1.45,1,1.1026143074035644,0.7604236602783203,0.21582060903310776,2019-01-07,Struff J.L.,Djere L.
2796,1.76,1,1.0997826735178629,0.6248765190442404,0.32699815432230633,2019-01-08,Gojowczyk P.,Pella G.
2778,1.17,1,1.0968419305086134,0.9374717354774476,0.10888998731970786,2019-01-06,Rublev A.,Andreozzi G.
2802,1.36,1,1.09357217502594,0.8040971875190734,0.41987356543540955,2019-01-08,Fucsovics M.,Duckworth J.
2729,1.7,1,1.0891498573124407,0.640676386654377,0.3634874075651169,2019-01-02,Berdych T.,Verdasco F.
2752,1.26,1,1.0886232655048371,0.8639867186546326,0.2225162722170353,2019-01-05,Humbert U.,Skugor F.
2730,1.23,1,1.087888845205307,0.8844624757766724,0.1492745853960514,2019-01-02,Bautista Agut R.,Garcia-Lopez G.
2755,1.44,1,1.0822103118896484,0.7515349388122559,0.1128828465938568,2019-01-05,Cuevas P.,Robert S.
2673,1.36,1,1.0817223558425904,0.7953840851783752,0.38181163370609283,2018-12-31,Gulbis E.,Sousa P.
2640,1.25,1,1.0790766775608063,0.863261342048645,0.22033966556191445,2018-12-29,Stakhovsky S.,Marco Moroni G.
2756,1.29,1,1.0689799032211305,0.8286665916442871,0.10818029642105102,2019-01-05,McDonald M.,Puetz T.
